A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
36 	Na     	11 	25 	0.0000  	              	46.3                	7         	180 NS LT                	1.8E-7                   	          	        	N       	            
37 	Na     	11 	26 	0.0000  	              	53.5                	7         	                         	                         	          	        	B-      	100.00      
37 	Na     	11 	26 	0.0000  	              	53.5                	7         	                         	                         	          	        	BN      	?           
37 	Na     	11 	26 	0.0000  	              	53.5                	7         	                         	                         	          	        	B2N     	?           
37 	Na     	11 	26 	0.0000  	              	53.5                	7         	                         	                         	          	        	B3N     	?           
19 	Mg     	12 	7  	        	1/2-          	31.83               	5         	4.0 PS 15                	4E-12                    	          	        	2P      	100.00      
20 	Mg     	12 	8  	0.0000  	0+            	17.4777             	19        	90.8 MS 24               	0.0908                   	          	        	EC      	100.00      
20 	Mg     	12 	8  	0.0000  	0+            	17.4777             	19        	90.8 MS 24               	0.0908                   	          	        	EP      	~ 27.00     
21 	Mg     	12 	9  	0.0000  	5/2+          	10.9039             	8         	122 MS 3 3               	0.122                    	          	        	EP      	32.60       
21 	Mg     	12 	9  	0.0000  	5/2+          	10.9039             	8         	122 MS 3 3               	0.122                    	          	        	EA      	< 0.50      
21 	Mg     	12 	9  	0.0000  	5/2+          	10.9039             	8         	122 MS 3 3               	0.122                    	          	        	EC      	100.00      
22 	Mg     	12 	10 	0.0000  	0+            	-0.3999             	3         	3.8755 S 1               	3.876                    	          	        	EC      	100.00      
23 	Mg     	12 	11 	0.0000  	3/2+          	-5.47351            	16        	11.317 S 11              	11.317                   	          	        	EC      	100.00      
24 	Mg     	12 	12 	0.0000  	0+            	-13.933569          	13        	STABLE                   	infinity                 	78.99%    	4       	        	            
25 	Mg     	12 	13 	0.0000  	5/2+          	-13.19278           	5         	STABLE                   	infinity                 	10.00%    	1       	        	            
26 	Mg     	12 	14 	0.0000  	0+            	-16.21454           	3         	STABLE                   	infinity                 	11.01%    	3       	        	            
27 	Mg     	12 	15 	0.0000  	1/2+          	-14.58661           	5         	9.458 M 12               	567.48                   	          	        	B-      	100.00      
28 	Mg     	12 	16 	0.0000  	0+            	-15.0188            	20        	20.915 H 9               	75294                    	          	        	B-      	100.00      
29 	Mg     	12 	17 	0.0000  	3/2+          	-10.603             	11        	1.30 S 12                	1.3                      	          	        	B-      	100.00      
30 	Mg     	12 	18 	0.0000  	0+            	-8.884              	3         	317 MS 5                 	0.317                    	          	        	B-      	100.00      
30 	Mg     	12 	18 	0.0000  	0+            	-8.884              	3         	317 MS 5                 	0.317                    	          	        	BN      	< 0.060     
31 	Mg     	12 	19 	0.0000  	1/2(+)        	-3.122              	3         	236 MS 20                	0.236                    	          	        	B-      	100.00      
31 	Mg     	12 	19 	0.0000  	1/2(+)        	-3.122              	3         	236 MS 20                	0.236                    	          	        	BN      	6.20        
32 	Mg     	12 	20 	0.0000  	0+            	-0.829              	3         	86 MS 5                  	0.086                    	          	        	B-      	100.00      
32 	Mg     	12 	20 	0.0000  	0+            	-0.829              	3         	86 MS 5                  	0.086                    	          	        	BN      	5.40        
33 	Mg     	12 	21 	0.0000  	3/2(-)        	4.962               	3         	89.4 MS 10               	0.0894                   	          	        	B2N     	?           
33 	Mg     	12 	21 	0.0000  	3/2(-)        	4.962               	3         	89.4 MS 10               	0.0894                   	          	        	B-      	100.00      
33 	Mg     	12 	21 	0.0000  	3/2(-)        	4.962               	3         	89.4 MS 10               	0.0894                   	          	        	BN      	14.00       
34 	Mg     	12 	22 	0.0000  	0+            	8.32                	3         	20 MS 10                 	0.02                     	          	        	B-      	100.00      
34 	Mg     	12 	22 	0.0000  	0+            	8.32                	3         	20 MS 10                 	0.02                     	          	        	BN      	58.00       
34 	Mg     	12 	22 	0.0000  	0+            	8.32                	3         	20 MS 10                 	0.02                     	          	        	B2N     	?           
35 	Mg     	12 	23 	0.0000  	(5/2-)        	15.6                	3         	11.3 MS 6                	0.0113                   	          	        	BN      	52.00       
35 	Mg     	12 	23 	0.0000  	(5/2-)        	15.6                	3         	11.3 MS 6                	0.0113                   	          	        	B2N     	?           
35 	Mg     	12 	23 	0.0000  	(5/2-)        	15.6                	3         	11.3 MS 6                	0.0113                   	          	        	B3N     	?           
35 	Mg     	12 	23 	0.0000  	(5/2-)        	15.6                	3         	11.3 MS 6                	0.0113                   	          	        	B-      	100.00      
36 	Mg     	12 	24 	0.0000  	0+            	20.4                	7         	5.8 MS 19                	0.0058                   	          	        	B2N     	?           
36 	Mg     	12 	24 	0.0000  	0+            	20.4                	7         	5.8 MS 19                	0.0058                   	          	        	B3N     	?           
36 	Mg     	12 	24 	0.0000  	0+            	20.4                	7         	5.8 MS 19                	0.0058                   	          	        	B-      	100.00      
36 	Mg     	12 	24 	0.0000  	0+            	20.4                	7         	5.8 MS 19                	0.0058                   	          	        	BN      	48.00       
37 	Mg     	12 	25 	0.0000  	(7/2-)        	28.2                	7         	8 MS 4                   	0.008                    	          	        	B2N     	?           
37 	Mg     	12 	25 	0.0000  	(7/2-)        	28.2                	7         	8 MS 4                   	0.008                    	          	        	B3N     	?           
37 	Mg     	12 	25 	0.0000  	(7/2-)        	28.2                	7         	8 MS 4                   	0.008                    	          	        	B-      	100.00      
37 	Mg     	12 	25 	0.0000  	(7/2-)        	28.2                	7         	8 MS 4                   	0.008                    	          	        	BN      	?           
38 	Mg     	12 	26 	0.0000  	0+            	34.1                	5         	                         	                         	          	        	B3N     	?           
38 	Mg     	12 	26 	0.0000  	0+            	34.1                	5         	                         	                         	          	        	B-      	100.00      
38 	Mg     	12 	26 	0.0000  	0+            	34.1                	5         	                         	                         	          	        	BN      	?           
38 	Mg     	12 	26 	0.0000  	0+            	34.1                	5         	                         	                         	          	        	B2N     	?           
39 	Mg     	12 	27 	0.0000  	              	42.3                	5         	180 NS LT                	1.8E-7                   	          	        	N       	            
40 	Mg     	12 	28 	0.0000  	0+            	48.4                	5         	                         	                         	          	        	B2N     	?           
40 	Mg     	12 	28 	0.0000  	0+            	48.4                	5         	                         	                         	          	        	B3N     	?           
40 	Mg     	12 	28 	0.0000  	0+            	48.4                	5         	                         	                         	          	        	B-      	100.00      
40 	Mg     	12 	28 	0.0000  	0+            	48.4                	5         	                         	                         	          	        	BN      	?           
21 	Al     	13 	8  	0.0000  	(5/2+)        	27.0                	6         	35 NS LT                 	3.5E-8                   	          	        	P       	            
22 	Al     	13 	9  	0.0000  	4+            	18.2                	4         	91.1 MS 5                	0.0911                   	          	        	E2P     	1.10        
22 	Al     	13 	9  	0.0000  	4+            	18.2                	4         	91.1 MS 5                	0.0911                   	          	        	EA      	0.04        
22 	Al     	13 	9  	0.0000  	4+            	18.2                	4         	91.1 MS 5                	0.0911                   	          	        	EC      	100.00      
22 	Al     	13 	9  	0.0000  	4+            	18.2                	4         	91.1 MS 5                	0.0911                   	          	        	EP      	55.00       
23 	Al     	13 	10 	0.0000  	5/2+          	6.7481              	3         	0.47 S 3                 	0.47                     	          	        	EC      	100.00      
23 	Al     	13 	10 	0.0000  	5/2+          	6.7481              	3         	0.47 S 3                 	0.47                     	          	        	EP      	0.46        
24 	Al     	13 	11 	0.0000  	4+            	-0.04886            	23        	2.053 S 4                	2.053                    	          	        	EC      	100.00      
24 	Al     	13 	11 	0.0000  	4+            	-0.04886            	23        	2.053 S 4                	2.053                    	          	        	EP      	1.6E-3      
24 	Al     	13 	11 	0.0000  	4+            	-0.04886            	23        	2.053 S 4                	2.053                    	          	        	EA      	0.04        
24 	Al     	13 	11 	0.4258  	1+            	0.37694             	23        	130 MS 3                 	0.13                     	          	        	EA      	0.03        
24 	Al     	13 	11 	0.4258  	1+            	0.37694             	23        	130 MS 3                 	0.13                     	          	        	IT      	82.50       
24 	Al     	13 	11 	0.4258  	1+            	0.37694             	23        	130 MS 3                 	0.13                     	          	        	EC      	17.50       
25 	Al     	13 	12 	0.0000  	5/2+          	-8.91597            	7         	7.183 S 12               	7.183                    	          	        	EC      	100.00      
26 	Al     	13 	13 	0.0000  	5+            	-12.21015           	7         	7.17E+05 Y 24            	2.263E13                 	          	        	EC      	100.00      
26 	Al     	13 	13 	0.2283  	0+            	-11.98185           	7         	6.3460 S 8               	6.346                    	          	        	EC      	100.00      
27 	Al     	13 	14 	0.0000  	5/2+          	-17.19686           	5         	STABLE                   	infinity                 	100%      	        	        	            
28 	Al     	13 	15 	0.0000  	3+            	-16.85064           	8         	2.245 M 2                	134.7                    	          	        	B-      	100.00      
29 	Al     	13 	16 	0.0000  	5/2+          	-18.2078            	3         	6.56 M 6                 	393.6                    	          	        	B-      	100.00      
30 	Al     	13 	17 	0.0000  	3+            	-15.865             	3         	3.62 S 6                 	3.62                     	          	        	B-      	100.00      
31 	Al     	13 	18 	0.0000  	5/2(+)        	-14.9507            	22        	644 MS 25                	0.644                    	          	        	BN      	< 1.60      
31 	Al     	13 	18 	0.0000  	5/2(+)        	-14.9507            	22        	644 MS 25                	0.644                    	          	        	B-      	100.00      
32 	Al     	13 	19 	0.0000  	1+            	-11.099             	7         	31.9 MS 8                	0.0319                   	          	        	B-      	100.00      
32 	Al     	13 	19 	0.0000  	1+            	-11.099             	7         	31.9 MS 8                	0.0319                   	          	        	BN      	0.70        
33 	Al     	13 	20 	0.0000  	(5/2)+        	-8.497              	7         	41.7 MS 2                	0.0417                   	          	        	B-      	100.00      
33 	Al     	13 	20 	0.0000  	(5/2)+        	-8.497              	7         	41.7 MS 2                	0.0417                   	          	        	BN      	8.50        
34 	Al     	13 	21 	0.0000  	(4-)          	-3.000              	3         	56.3 MS 6                	0.0563                   	          	        	B-      	100.00      
34 	Al     	13 	21 	0.0000  	              	-3.000              	3         	56.3 MS 6                	0.0563                   	          	        	BN      	26.00       
34 	Al     	13 	21 	0.0000  	              	-3.000              	3         	56.3 MS 6                	0.0563                   	          	        	B2N     	?           
35 	Al     	13 	22 	0.0000  	(5/2+)        	-0.224              	7         	37.6 MS 14               	0.0376                   	          	        	BN      	38.00       
35 	Al     	13 	22 	0.0000  	(5/2+)        	-0.224              	7         	37.6 MS 14               	0.0376                   	          	        	B2N     	?           
35 	Al     	13 	22 	0.0000  	(5/2+)        	-0.224              	7         	37.6 MS 14               	0.0376                   	          	        	B-      	100.00      
36 	Al     	13 	23 	0.0000  	              	5.95                	15        	94 MS 37                 	0.094                    	          	        	B3N     	?           
36 	Al     	13 	23 	0.0000  	              	5.95                	15        	94 MS 37                 	0.094                    	          	        	B-      	100.00      
36 	Al     	13 	23 	0.0000  	              	5.95                	15        	94 MS 37                 	0.094                    	          	        	BN      	< 31.00     
36 	Al     	13 	23 	0.0000  	              	5.95                	15        	94 MS 37                 	0.094                    	          	        	B2N     	?           
37 	Al     	13 	24 	0.0000  	              	9.81                	18        	10.7 MS 13               	0.0107                   	          	        	B3N     	?           
37 	Al     	13 	24 	0.0000  	              	9.81                	18        	10.7 MS 13               	0.0107                   	          	        	B-      	100.00      
37 	Al     	13 	24 	0.0000  	              	9.81                	18        	10.7 MS 13               	0.0107                   	          	        	BN      	55.000      
37 	Al     	13 	24 	0.0000  	              	9.81                	18        	10.7 MS 13               	0.0107                   	          	        	B2N     	?           
38 	Al     	13 	25 	0.0000  	              	16.2                	4         	7.6 MS 6                 	0.0076                   	          	        	B-      	100.00      
38 	Al     	13 	25 	0.0000  	              	16.2                	4         	7.6 MS 6                 	0.0076                   	          	        	BN      	84.00       
38 	Al     	13 	25 	0.0000  	              	16.2                	4         	7.6 MS 6                 	0.0076                   	          	        	B2N     	?           
38 	Al     	13 	25 	0.0000  	              	16.2                	4         	7.6 MS 6                 	0.0076                   	          	        	B3N     	?           
39 	Al     	13 	26 	0.0000  	              	20.7                	4         	7.6 MS 16                	0.0076                   	          	        	B-      	100.00      
39 	Al     	13 	26 	0.0000  	              	20.7                	4         	7.6 MS 16                	0.0076                   	          	        	BN      	97.00       
39 	Al     	13 	26 	0.0000  	              	20.7                	4         	7.6 MS 16                	0.0076                   	          	        	B2N     	?           
39 	Al     	13 	26 	0.0000  	              	20.7                	4         	7.6 MS 16                	0.0076                   	          	        	B3N     	?           
40 	Al     	13 	27 	0.0000  	              	27.6                	4         	                         	                         	          	        	B-      	100.00      
40 	Al     	13 	27 	0.0000  	              	27.6                	4         	                         	                         	          	        	BN      	?           
40 	Al     	13 	27 	0.0000  	              	27.6                	4         	                         	                         	          	        	B2N     	?           
40 	Al     	13 	27 	0.0000  	              	27.6                	4         	                         	                         	          	        	B3N     	?           
41 	Al     	13 	28 	0.0000  	              	33.4                	5         	                         	                         	          	        	BN      	?           
41 	Al     	13 	28 	0.0000  	              	33.4                	5         	                         	                         	          	        	B2N     	?           
41 	Al     	13 	28 	0.0000  	              	33.4                	5         	                         	                         	          	        	B3N     	?           
41 	Al     	13 	28 	0.0000  	              	33.4                	5         	                         	                         	          	        	B-      	100.00      
42 	Al     	13 	29 	0.0000  	              	40.1                	6         	                         	                         	          	        	B2N     	?           
42 	Al     	13 	29 	0.0000  	              	40.1                	6         	                         	                         	          	        	B3N     	?           
42 	Al     	13 	29 	0.0000  	              	40.1                	6         	                         	                         	          	        	B-      	100.00      
42 	Al     	13 	29 	0.0000  	              	40.1                	6         	                         	                         	          	        	BN      	?           
43 	Al     	13 	30 	0.0000  	              	47.0                	8         	                         	                         	          	        	B2N     	?           
43 	Al     	13 	30 	0.0000  	              	47.0                	8         	                         	                         	          	        	B3N     	?           
43 	Al     	13 	30 	0.0000  	              	47.0                	8         	                         	                         	          	        	B-      	100.00      
43 	Al     	13 	30 	0.0000  	              	47.0                	8         	                         	                         	          	        	BN      	?           
22 	Si     	14 	8  	0.0000  	0+            	33.3                	5         	29 MS 2                  	0.029                    	          	        	EC      	100.00      
22 	Si     	14 	8  	0.0000  	0+            	33.3                	5         	29 MS 2                  	0.029                    	          	        	EP      	32.00       
23 	Si     	14 	9  	0.0000  	(5/2)+        	23.7                	5         	42.3 MS 4                	0.0423                   	          	        	EP      	71.00       
23 	Si     	14 	9  	0.0000  	(5/2)+        	23.7                	5         	42.3 MS 4                	0.0423                   	          	        	E2P     	3.60        
23 	Si     	14 	9  	0.0000  	(5/2)+        	23.7                	5         	42.3 MS 4                	0.0423                   	          	        	EC      	100.00      
24 	Si     	14 	10 	0.0000  	0+            	10.745              	19        	140.5 MS 15              	0.141                    	          	        	EC      	100.00      
24 	Si     	14 	10 	0.0000  	0+            	10.745              	19        	140.5 MS 15              	0.141                    	          	        	EP      	45.00       
25 	Si     	14 	11 	0.0000  	5/2+          	3.827               	10        	220 MS 3                 	0.22                     	          	        	EC      	100.00      
25 	Si     	14 	11 	0.0000  	5/2+          	3.827               	10        	220 MS 3                 	0.22                     	          	        	EP      	35.00       
26 	Si     	14 	12 	0.0000  	0+            	-7.14101            	11        	2.2453 S 7               	2.245                    	          	        	EC      	100.00      
27 	Si     	14 	13 	0.0000  	5/2+          	-12.38450           	11        	4.15 S 4                 	4.15                     	          	        	EC      	100.00      
28 	Si     	14 	14 	0.0000  	0+            	-21.4927943         	5         	STABLE                   	infinity                 	92.223%   	19      	        	            
29 	Si     	14 	15 	0.0000  	1/2+          	-21.8950784         	6         	STABLE                   	infinity                 	4.685%    	8       	        	            
30 	Si     	14 	16 	0.0000  	0+            	-24.432960          	22        	STABLE                   	infinity                 	3.092%    	11      	        	            
31 	Si     	14 	17 	0.0000  	3/2+          	-22.94904           	4         	157.36 M 26              	9441.6                   	          	        	B-      	100.00      
32 	Si     	14 	18 	0.0000  	0+            	-24.0777            	3         	153 Y 19                 	4.828E9                  	          	        	B-      	100.00      
33 	Si     	14 	19 	0.0000  	3/2+          	-20.5143            	7         	6.11 S 21                	6.11                     	          	        	B-      	100.00      
34 	Si     	14 	20 	0.0000  	0+            	-19.957             	14        	2.77 S 20                	2.77                     	          	        	B-      	100.00      
35 	Si     	14 	21 	0.0000  	              	-14.39              	4         	780 MS 120               	0.78                     	          	        	B-      	100.00      
35 	Si     	14 	21 	0.0000  	              	-14.39              	4         	780 MS 120               	0.78                     	          	        	BN      	< 5.26      
36 	Si     	14 	22 	0.0000  	0+            	-12.44              	7         	450 MS 60                	0.45                     	          	        	BN      	12.40       
36 	Si     	14 	22 	0.0000  	0+            	-12.44              	7         	450 MS 60                	0.45                     	          	        	B-      	100.00      
37 	Si     	14 	23 	0.0000  	(5/2-)        	-6.57               	11        	90 MS 60                 	0.09                     	          	        	B-      	100.00      
37 	Si     	14 	23 	0.0000  	(5/2-)        	-6.57               	11        	90 MS 60                 	0.09                     	          	        	BN      	17.00       
37 	Si     	14 	23 	0.0000  	(5/2-)        	-6.57               	11        	90 MS 60                 	0.09                     	          	        	B2N     	?           
38 	Si     	14 	24 	0.0000  	0+            	-4.17               	10        	95 MS 10                 	0.095                    	          	        	BN      	28.00       
38 	Si     	14 	24 	0.0000  	0+            	-4.17               	10        	95 MS 10                 	0.095                    	          	        	B-      	100.00      
39 	Si     	14 	25 	0.0000  	              	2.32                	14        	47.5 MS 20               	0.0475                   	          	        	B-      	100.00      
39 	Si     	14 	25 	0.0000  	              	2.32                	14        	47.5 MS 20               	0.0475                   	          	        	BN      	60.00       
39 	Si     	14 	25 	0.0000  	              	2.32                	14        	47.5 MS 20               	0.0475                   	          	        	B2N     	?           
40 	Si     	14 	26 	0.0000  	0+            	5.4                 	3         	33 MS 1                  	0.033                    	          	        	B-      	100.00      
40 	Si     	14 	26 	0.0000  	0+            	5.4                 	3         	33 MS 1                  	0.033                    	          	        	BN      	59.00       
40 	Si     	14 	26 	0.0000  	0+            	5.4                 	3         	33 MS 1                  	0.033                    	          	        	B2N     	?           
40 	Si     	14 	26 	0.0000  	0+            	5.4                 	3         	33 MS 1                  	0.033                    	          	        	B3N     	?           
41 	Si     	14 	27 	0.0000  	              	12.1                	6         	20.0 MS 25               	0.02                     	          	        	BN      	> 61.00     
41 	Si     	14 	27 	0.0000  	              	12.1                	6         	20.0 MS 25               	0.02                     	          	        	B2N     	?           
41 	Si     	14 	27 	0.0000  	              	12.1                	6         	20.0 MS 25               	0.02                     	          	        	B3N     	?           
41 	Si     	14 	27 	0.0000  	              	12.1                	6         	20.0 MS 25               	0.02                     	          	        	B-      	100.00      
42 	Si     	14 	28 	0.0000  	0+            	16.5                	5         	12.5 MS 35               	0.0125                   	          	        	BN      	?           
42 	Si     	14 	28 	0.0000  	0+            	16.5                	5         	12.5 MS 35               	0.0125                   	          	        	B2N     	?           
42 	Si     	14 	28 	0.0000  	0+            	16.5                	5         	12.5 MS 35               	0.0125                   	          	        	B3N     	?           
42 	Si     	14 	28 	0.0000  	0+            	16.5                	5         	12.5 MS 35               	0.0125                   	          	        	B-      	100.00      
43 	Si     	14 	29 	0.0000  	              	23.1                	6         	                         	                         	          	        	B2N     	?           
43 	Si     	14 	29 	0.0000  	              	23.1                	6         	                         	                         	          	        	B3N     	?           
43 	Si     	14 	29 	0.0000  	              	23.1                	6         	                         	                         	          	        	B-      	100.00      
43 	Si     	14 	29 	0.0000  	              	23.1                	6         	                         	                         	          	        	BN      	?           
44 	Si     	14 	30 	0.0000  	0+            	28.5                	6         	                         	                         	          	        	B3N     	?           
44 	Si     	14 	30 	0.0000  	0+            	28.5                	6         	                         	                         	          	        	B-      	100.00      
44 	Si     	14 	30 	0.0000  	0+            	28.5                	6         	                         	                         	          	        	BN      	?           
44 	Si     	14 	30 	0.0000  	0+            	28.5                	6         	                         	                         	          	        	B2N     	?           
24 	P      	15 	9  	0.0000  	(1+)          	33.3                	5         	                         	                         	          	        	EC      	?           
24 	P      	15 	9  	0.0000  	(1+)          	33.3                	5         	                         	                         	          	        	P       	?           
25 	P      	15 	10 	0.0000  	(1/2+)        	19.7                	4         	30 NS LT                 	3.0000000000000004E-8    	          	        	P       	100.00      
26 	P      	15 	11 	0.0000  	(3+)          	10.97               	20        	43.7 MS 6                	0.0437                   	          	        	EC      	100.00      
26 	P      	15 	11 	0.0000  	(3+)          	10.97               	20        	43.7 MS 6                	0.0437                   	          	        	EP      	36.80       
26 	P      	15 	11 	0.0000  	(3+)          	10.97               	20        	43.7 MS 6                	0.0437                   	          	        	E2      	P 2.16      
27 	P      	15 	12 	0.0000  	1/2+          	-0.72               	3         	260 MS 80                	0.26                     	          	        	EC      	100.00      
27 	P      	15 	12 	0.0000  	1/2+          	-0.72               	3         	260 MS 80                	0.26                     	          	        	EP      	0.07        
28 	P      	15 	13 	0.0000  	3+            	-7.1477             	12        	270.3 MS 5               	0.27                     	          	        	EC      	100.00      
28 	P      	15 	13 	0.0000  	3+            	-7.1477             	12        	270.3 MS 5               	0.27                     	          	        	EP      	1.3E-3      
28 	P      	15 	13 	0.0000  	3+            	-7.1477             	12        	270.3 MS 5               	0.27                     	          	        	EA      	8.6E-4      
29 	P      	15 	14 	0.0000  	1/2+          	-16.9528            	4         	4.142 S 15               	4.142                    	          	        	EC      	100.00      
30 	P      	15 	15 	0.0000  	1+            	-20.20085           	7         	2.498 M 4                	149.88                   	          	        	EC      	100.00      
31 	P      	15 	16 	0.0000  	1/2+          	-24.4405409         	7         	STABLE                   	infinity                 	100%      	        	        	            
32 	P      	15 	17 	0.0000  	1+            	-24.30487           	4         	14.268 D 5               	1232755.2                	          	        	B-      	100.00      
33 	P      	15 	18 	0.0000  	1/2+          	-26.3373            	11        	25.35 D 11               	2190240                  	          	        	B-      	100.00      
34 	P      	15 	19 	0.0000  	1+            	-24.5487            	8         	12.43 S 10               	12.43                    	          	        	B-      	100.00      
35 	P      	15 	20 	0.0000  	1/2+          	-24.8578            	19        	47.3 S 7                 	47.3                     	          	        	B-      	100.00      
36 	P      	15 	21 	0.0000  	4-            	-20.251             	13        	5.6 S 3                  	5.6                      	          	        	B-      	100.00      
36 	P      	15 	21 	0.0000  	4-            	-20.251             	13        	5.6 S 3                  	5.6                      	          	        	BN      	?           
37 	P      	15 	22 	0.0000  	              	-19.00              	4         	2.31 S 13                	2.31                     	          	        	BN      	?           
37 	P      	15 	22 	0.0000  	              	-19.00              	4         	2.31 S 13                	2.31                     	          	        	B-      	100.00      
38 	P      	15 	23 	0.0000  	(0-:4-)       	-14.62              	7         	0.64 S 14                	0.64                     	          	        	B-      	100.00      
38 	P      	15 	23 	0.0000  	(0-:4-)       	-14.62              	7         	0.64 S 14                	0.64                     	          	        	BN      	12.00       
39 	P      	15 	24 	0.0000  	              	-12.77              	11        	0.28 S 4                 	0.28                     	          	        	B-      	100.00      
39 	P      	15 	24 	0.0000  	              	-12.77              	11        	0.28 S 4                 	0.28                     	          	        	BN      	26.00       
40 	P      	15 	25 	0.0000  	(2-,3-)       	-8.11               	15        	150 MS 8                 	0.15                     	          	        	B-      	100.00      
40 	P      	15 	25 	0.0000  	(2-,3-)       	-8.11               	15        	150 MS 8                 	0.15                     	          	        	BN      	15.80       
40 	P      	15 	25 	0.0000  	(2-,3-)       	-8.11               	15        	150 MS 8                 	0.15                     	          	        	B2N     	?           
41 	P      	15 	26 	0.0000  	(1/2+)        	-4.98               	12        	101 MS 5                 	0.101                    	          	        	B2N     	?           
41 	P      	15 	26 	0.0000  	(1/2+)        	-4.98               	12        	101 MS 5                 	0.101                    	          	        	B-      	100.00      
41 	P      	15 	26 	0.0000  	(1/2+)        	-4.98               	12        	101 MS 5                 	0.101                    	          	        	BN      	30.00       
42 	P      	15 	27 	0.0000  	              	1.0                 	3         	48.5 MS 15               	0.0485                   	          	        	B-      	100.00      
42 	P      	15 	27 	0.0000  	              	1.0                 	3         	48.5 MS 15               	0.0485                   	          	        	BN      	50.00       
42 	P      	15 	27 	0.0000  	              	1.0                 	3         	48.5 MS 15               	0.0485                   	          	        	B2N     	?           
43 	P      	15 	28 	0.0000  	(1/2+)        	4.7                 	6         	36.5 MS 15               	0.0365                   	          	        	B-      	100.00      
43 	P      	15 	28 	0.0000  	(1/2+)        	4.7                 	6         	36.5 MS 15               	0.0365                   	          	        	BN      	100.00      
43 	P      	15 	28 	0.0000  	(1/2+)        	4.7                 	6         	36.5 MS 15               	0.0365                   	          	        	B2N     	?           
43 	P      	15 	28 	0.0000  	(1/2+)        	4.7                 	6         	36.5 MS 15               	0.0365                   	          	        	B3N     	?           
44 	P      	15 	29 	0.0000  	              	10.5                	5         	18.5 MS 25               	0.0185                   	          	        	BN      	?           
44 	P      	15 	29 	0.0000  	              	10.5                	5         	18.5 MS 25               	0.0185                   	          	        	B2N     	?           
44 	P      	15 	29 	0.0000  	              	10.5                	5         	18.5 MS 25               	0.0185                   	          	        	B3N     	?           
44 	P      	15 	29 	0.0000  	              	10.5                	5         	18.5 MS 25               	0.0185                   	          	        	B-      	100.00      
45 	P      	15 	30 	0.0000  	              	15.6                	5         	200 NS GT                	2.0000000000000002E-7    	          	        	BN      	?           
45 	P      	15 	30 	0.0000  	              	15.6                	5         	200 NS GT                	2.0000000000000002E-7    	          	        	B2N     	?           
45 	P      	15 	30 	0.0000  	              	15.6                	5         	200 NS GT                	2.0000000000000002E-7    	          	        	B3N     	?           
45 	P      	15 	30 	0.0000  	              	15.6                	5         	200 NS GT                	2.0000000000000002E-7    	          	        	B-      	100.00      
46 	P      	15 	31 	0.0000  	              	23.0                	7         	200 NS GT                	2.0000000000000002E-7    	          	        	B2N     	?           
46 	P      	15 	31 	0.0000  	              	23.0                	7         	200 NS GT                	2.0000000000000002E-7    	          	        	B3N     	?           
46 	P      	15 	31 	0.0000  	              	23.0                	7         	200 NS GT                	2.0000000000000002E-7    	          	        	B-      	100.00      
46 	P      	15 	31 	0.0000  	              	23.0                	7         	200 NS GT                	2.0000000000000002E-7    	          	        	BN      	?           
26 	S      	16 	10 	0.0000  	0+            	27.1                	6         	79 NS LT                 	7.9E-8                   	          	        	2P      	?           
27 	S      	16 	11 	0.0000  	(5/2+)        	17.0                	4         	15.5 MS 15               	0.0155                   	          	        	EP      	2.30        
27 	S      	16 	11 	0.0000  	(5/2+)        	17.0                	4         	15.5 MS 15               	0.0155                   	          	        	E2P     	1.10        
27 	S      	16 	11 	0.0000  	(5/2+)        	17.0                	4         	15.5 MS 15               	0.0155                   	          	        	EC      	100.00      
28 	S      	16 	12 	0.0000  	0+            	4.07                	16        	125 MS 10                	0.125                    	          	        	EC      	100.00      
28 	S      	16 	12 	0.0000  	0+            	4.07                	16        	125 MS 10                	0.125                    	          	        	EP      	20.70       
29 	S      	16 	13 	0.0000  	5/2+          	-3.16               	5         	188 MS 4                 	0.188                    	          	        	EP      	47.00       
29 	S      	16 	13 	0.0000  	5/2+          	-3.16               	5         	188 MS 4                 	0.188                    	          	        	EC      	100.00      
30 	S      	16 	14 	0.0000  	0+            	-14.05925           	21        	1.178 S 5                	1.178                    	          	        	EC      	100.00      
31 	S      	16 	15 	0.0000  	1/2+          	-19.04253           	23        	2.5534 S 1               	2.553                    	          	        	EC      	100.00      
32 	S      	16 	16 	0.0000  	0+            	-26.0155335         	13        	STABLE                   	infinity                 	94.99%    	26      	        	            
33 	S      	16 	17 	0.0000  	3/2+          	-26.5858543         	14        	STABLE                   	infinity                 	0.75%     	2       	        	            
34 	S      	16 	18 	0.0000  	0+            	-29.93168           	5         	STABLE                   	infinity                 	4.25%     	24      	        	            
35 	S      	16 	19 	0.0000  	3/2+          	-28.84621           	4         	87.37 D 4                	7548768                  	          	        	B-      	100.00      
36 	S      	16 	20 	0.0000  	0+            	-30.66413           	19        	STABLE                   	infinity                 	0.01%     	1       	        	            
37 	S      	16 	21 	0.0000  	7/2-          	-26.89642           	20        	5.05 M 2                 	303                      	          	        	B-      	100.00      
38 	S      	16 	22 	0.0000  	0+            	-26.861             	7         	170.3 M 7                	10218                    	          	        	B-      	100.00      
39 	S      	16 	23 	0.0000  	(7/2)-        	-23.16              	5         	11.5 S 5                 	11.5                     	          	        	B-      	100.00      
